ERROR 2024/08/26 07:47:11 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:47:41 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:48:12 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:48:42 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:49:13 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:49:43 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:50:15 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:50:45 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:51:16 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
ERROR 2024/08/26 07:51:46 Unable to connect to MongoDB using URL mongodb://localhost:27001/JobSerach?directConnection=true: server selection error: server selection timeout, current topology: { Type: Single, Servers: [{ Addr: localhost:27001, Type: Unknown, Last error: dial tcp [::1]:27001: connect: connection refused }, ] }
